subject,sequence,frame,frame_id,camera,role,method,absolute_median_mm,absolute_mean_mm,absolute_p90_mm,absolute_p95_mm,absolute_coverage_50mm,aligned_median_mm,aligned_mean_mm,aligned_p90_mm,aligned_p95_mm,aligned_coverage_50mm,aligned_translation_mm
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K1,HELD_OUT,O2,9.022333178931552,11.943216175841355,25.857702690145043,31.37738776021115,0.99,6.079055922672436,8.384373818151664,17.124622891576767,21.9051082517173,0.991,12.517681165388096
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K1,HELD_OUT,O3,10.114416583966513,12.502939404060406,25.129008716742035,29.964959784172123,0.988,7.078226995932763,9.564826806951132,19.602254903372643,24.959283608381742,0.9902,11.43283238557572
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K1,HELD_OUT,O4,9.256250184571286,12.017103919684745,25.54597518751643,30.986223963348753,0.99,6.0915671617852905,8.247957160196616,16.615757814280176,21.2801632913832,0.9912,13.102110680748364
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K2,HELD_OUT,O0,32.79403230253426,43.184910400910375,76.00422850606846,84.46595885940408,0.6956,14.019744939218885,23.747581136532844,37.38661591434298,43.73191056721629,0.9612,65.07751470429925
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K2,HELD_OUT,O1,13.739845688767714,23.476535718617747,36.34262876431244,45.72041285652275,0.9574,11.169905015944714,21.07528620008835,31.720183612251237,44.0914868105227,0.9604,15.145862030086361
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K2,HELD_OUT,O2,11.821013089105982,21.755127071027086,30.425525085067218,45.89219783915117,0.9532,7.6094758852595445,18.2190898299563,26.51591261861471,44.13705725391152,0.9582,16.04275477299988
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K2,HELD_OUT,O3,13.044895928798297,23.003744911435614,35.50529739797416,45.746861365177885,0.9586,10.807233899353438,20.87945643681761,31.838532488303972,44.51471097553477,0.9596,13.99557503380775
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K2,HELD_OUT,O4,12.160412658381095,21.931825620530827,30.314233750173237,45.677695069314375,0.9532,7.446420161826978,18.064965233249357,26.466977528134866,44.51187954986345,0.9576,16.531802855323406
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K3,HELD_OUT,O0,75.32161871817475,172.018946207485,404.76254659135134,432.12421394286173,0.4022,92.20320783415693,124.13734796503498,277.19731589275153,308.53949233284277,0.3202,150.69873401608018
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K3,HELD_OUT,O1,42.645815948273,158.99778040757224,405.34313794282804,432.8130921471789,0.5112,64.398545752031,135.9384983361052,324.84230222500423,351.93090448285375,0.4298,89.25889257890685
